Err?=(aucune)/besoin |/:Err?=(aucune)/besoin:Réinstallation:(État,Err::majuscule=mauvais) 
Nom ||/:Nom:Version:Architecture:Description 
libapt-pkg6.0:amd64 ii:libapt-pkg6.0:amd64:2.2.4:amd64:package:management:runtime:library 2.2.4
libarchive13:amd64 ii:libarchive13:amd64:3.4.3-2+deb11u1:amd64:Multi-format:archive:and:compression:library:(shared:library) 3.4.32
libargon2-1:amd64 ii:libargon2-1:amd64:0~20171227-0.2:amd64:memory-hard:hashing:function:-:runtime:library 0201712270.2
libasan6:amd64 ii:libasan6:amd64:10.2.1-6:amd64:AddressSanitizer:--:a:fast:memory:error:detector 10.2.16
libasound2:amd64 ii:libasound2:amd64:1.2.4-1.1:amd64:shared:library:for:ALSA:applications 1.2.41.1
libasound2-data ii:libasound2-data:1.2.4-1.1:all:Configuration:files:and:profiles:for:ALSA:drivers 1.2.41.1
libasound2-plugins:amd64 ii:libasound2-plugins:amd64:1.2.2-2:amd64:ALSA:library:additional:plugins 1.2.22
libaspell15:amd64 ii:libaspell15:amd64:0.60.8-3:amd64:GNU:Aspell:spell-checker:runtime:library 0.60.83
libass9:amd64 ii:libass9:amd64:1:0.15.0-2:amd64:library:for:SSA/ASS:subtitles:rendering 10.15.02
libassuan0:amd64 ii:libassuan0:amd64:2.5.3-7.1:amd64:IPC:library:for:the:GnuPG:components 2.5.37.1
libasyncns0:amd64 ii:libasyncns0:amd64:0.8-6+b2:amd64:Asynchronous:name:service:query:library 0.86
libatasmart4:amd64 ii:libatasmart4:amd64:0.19-5:amd64:ATA:S.M.A.R.T.:reading:and:parsing:library 0.195
libatk-adaptor:amd64 ii:libatk-adaptor:amd64:2.38.0-1:amd64:AT-SPI:2:toolkit:bridge 2.38.01
libatk-bridge2.0-0:amd64 ii:libatk-bridge2.0-0:amd64:2.38.0-1:amd64:AT-SPI:2:toolkit:bridge:-:shared:library 2.38.01
libatk1.0-0:amd64 ii:libatk1.0-0:amd64:2.36.0-2:amd64:ATK:accessibility:toolkit 2.36.02
libatk1.0-data ii:libatk1.0-data:2.36.0-2:all:Common:files:for:the:ATK:accessibility:toolkit 2.36.02
libatkmm-1.6-1v5:amd64 ii:libatkmm-1.6-1v5:amd64:2.28.0-3:amd64:C++:wrappers:for:ATK:accessibility:toolkit:(shared:libraries) 2.28.03
libatomic1:amd64 ii:libatomic1:amd64:10.2.1-6:amd64:support:library:providing:__atomic:built-in:functions 10.2.16
libatopology2:amd64 ii:libatopology2:amd64:1.2.4-1.1:amd64:shared:library:for:handling:ALSA:topology:definitions 1.2.41.1
libatspi2.0-0:amd64 ii:libatspi2.0-0:amd64:2.38.0-4:amd64:Assistive:Technology:Service:Provider:Interface:-:shared:library 2.38.04
libattr1:amd64 ii:libattr1:amd64:1:2.4.48-6:amd64:extended:attribute:handling:-:shared:library 12.4.486
libaudio2:amd64 ii:libaudio2:amd64:1.9.4-7:amd64:Network:Audio:System:-:shared:libraries 1.9.47
libaudit-common ii:libaudit-common:1:3.0-2:all:Dynamic:library:for:security:auditing:-:common:files 13.02
libaudit1:amd64 ii:libaudit1:amd64:1:3.0-2:amd64:Dynamic:library:for:security:auditing 13.02
libauthen-sasl-perl ii:libauthen-sasl-perl:2.1600-1.1:all:Authen::SASL:-:SASL:Authentication:framework 2.16001.1
libavahi-client3:amd64 ii:libavahi-client3:amd64:0.8-5+deb11u1:amd64:Avahi:client:library 0.85
libavahi-common-data:amd64 ii:libavahi-common-data:amd64:0.8-5+deb11u1:amd64:Avahi:common:data:files 0.85
libavahi-common3:amd64 ii:libavahi-common3:amd64:0.8-5+deb11u1:amd64:Avahi:common:library 0.85
libavahi-core7:amd64 ii:libavahi-core7:amd64:0.8-5+deb11u1:amd64:Avahi's:embeddable:mDNS/DNS-SD:library 0.85
libavahi-glib1:amd64 ii:libavahi-glib1:amd64:0.8-5+deb11u1:amd64:Avahi:GLib:integration:library 0.85
libavc1394-0:amd64 ii:libavc1394-0:amd64:0.5.4-5:amd64:control:IEEE:1394:audio/video:devices 0.5.45
libavcodec58:amd64 ii:libavcodec58:amd64:7:4.3.5-0+deb11u1:amd64:FFmpeg:library:with:de/encoders:for:audio/video:codecs:-:runtime:files 74.3.50
libavfilter7:amd64 ii:libavfilter7:amd64:7:4.3.5-0+deb11u1:amd64:FFmpeg:library:containing:media:filters:-:runtime:files 74.3.50
libavformat58:amd64 ii:libavformat58:amd64:7:4.3.5-0+deb11u1:amd64:FFmpeg:library:with:(de)muxers:for:multimedia:containers:-:runtime:files 74.3.50
libavresample4:amd64 ii:libavresample4:amd64:7:4.3.5-0+deb11u1:amd64:FFmpeg:compatibility:library:for:resampling:-:runtime:files 74.3.50
libavutil56:amd64 ii:libavutil56:amd64:7:4.3.5-0+deb11u1:amd64:FFmpeg:library:with:functions:for:simplifying:programming:-:runtime:files 74.3.50
libayatana-appindicator3-1 ii:libayatana-appindicator3-1:0.5.5-2+deb11u2:amd64:Ayatana:Application:Indicators:(GTK-3+:version) 0.5.52
libayatana-ido3-0.4-0:amd64 ii:libayatana-ido3-0.4-0:amd64:0.8.2-1:amd64:Widgets:and:other:objects:used:for:Ayatana:Indicators 0.8.21
libayatana-indicator3-7:amd64 ii:libayatana-indicator3-7:amd64:0.8.4-1+deb11u2:amd64:panel:indicator:applet:-:shared:library:(GTK-3+:variant) 0.8.41
libbdplus0:amd64 ii:libbdplus0:amd64:0.1.2-3:amd64:implementation:of:BD+:for:reading:Blu-ray:Discs 0.1.23
libbinutils:amd64 ii:libbinutils:amd64:2.35.2-2:amd64:GNU:binary:utilities:(private:shared:library) 2.35.22
libblas3:amd64 ii:libblas3:amd64:3.9.0-3:amd64:Basic:Linear:Algebra:Reference:implementations,:shared:library 3.9.03
libblkid1:amd64 ii:libblkid1:amd64:2.36.1-8+deb11u1:amd64:block:device:ID:library 2.36.18
libblockdev-crypto2:amd64 ii:libblockdev-crypto2:amd64:2.25-2:amd64:Crypto:plugin:for:libblockdev 2.252
libblockdev-fs2:amd64 ii:libblockdev-fs2:amd64:2.25-2:amd64:file:system:plugin:for:libblockdev 2.252
libblockdev-loop2:amd64 ii:libblockdev-loop2:amd64:2.25-2:amd64:Loop:device:plugin:for:libblockdev 2.252
libblockdev-part-err2:amd64 ii:libblockdev-part-err2:amd64:2.25-2:amd64:Partition:error:utility:functions:for:libblockdev 2.252
libblockdev-part2:amd64 ii:libblockdev-part2:amd64:2.25-2:amd64:Partitioning:plugin:for:libblockdev 2.252
libblockdev-swap2:amd64 ii:libblockdev-swap2:amd64:2.25-2:amd64:Swap:plugin:for:libblockdev 2.252
libblockdev-utils2:amd64 ii:libblockdev-utils2:amd64:2.25-2:amd64:Utility:functions:for:libblockdev 2.252
libblockdev2:amd64 ii:libblockdev2:amd64:2.25-2:amd64:Library:for:manipulating:block:devices 2.252
libbluetooth3:amd64 ii:libbluetooth3:amd64:5.55-3.1:amd64:Library:to:use:the:BlueZ:Linux:Bluetooth:stack 5.553.1
libbluray2:amd64 ii:libbluray2:amd64:1:1.2.1-4+deb11u2:amd64:Blu-ray:disc:playback:support:library:(shared:library) 11.2.14
libboost-filesystem1.74.0:amd64 ii:libboost-filesystem1.74.0:amd64:1.74.0-9:amd64:filesystem:operations:(portable:paths,:iteration:over:directories,:etc):in:C++ 1.74.09
libboost-iostreams1.74.0:amd64 ii:libboost-iostreams1.74.0:amd64:1.74.0-9:amd64:Boost.Iostreams:Library 1.74.09
libboost-locale1.74.0:amd64 ii:libboost-locale1.74.0:amd64:1.74.0-9:amd64:C++:facilities:for:localization 1.74.09
libboost-thread1.74.0:amd64 ii:libboost-thread1.74.0:amd64:1.74.0-9:amd64:portable:C++:multi-threading 1.74.09
libbpf0:amd64 ii:libbpf0:amd64:1:0.3-2:amd64:eBPF:helper:library:(shared:library) 10.32
libbrasero-media3-1:amd64 ii:libbrasero-media3-1:amd64:3.12.2-6:amd64:CD/DVD:burning:library:for:GNOME:-:runtime 3.12.26
libbrlapi0.8:amd64 ii:libbrlapi0.8:amd64:6.3+dfsg-1+deb11u1:amd64:braille:display:access:via:BRLTTY:-:shared:library 6.3
libbrotli1:amd64 ii:libbrotli1:amd64:1.0.9-2+b2:amd64:library:implementing:brotli:encoder:and:decoder:(shared:libraries) 1.0.92
libbs2b0:amd64 ii:libbs2b0:amd64:3.1.0+dfsg-2.2+b1:amd64:Bauer:stereophonic-to-binaural:DSP:library 3.1.0
libbsd0:amd64 ii:libbsd0:amd64:0.11.3-1:amd64:utility:functions:from:BSD:systems:-:shared:library 0.11.31
libburn4:amd64 ii:libburn4:amd64:1.5.2-1:amd64:library:to:provide:CD/DVD/BD:writing:functions 1.5.21
libbz2-1.0:amd64 ii:libbz2-1.0:amd64:1.0.8-4:amd64:high-quality:block-sorting:file:compressor:library:-:runtime 1.0.84
libc-bin ii:libc-bin:2.31-13+deb11u5:amd64:GNU:C:Library::Binaries 2.3113
libc-dev-bin ii:libc-dev-bin:2.31-13+deb11u5:amd64:GNU:C:Library::Development:binaries 2.3113
libc-devtools ii:libc-devtools:2.31-13+deb11u5:amd64:GNU:C:Library::Development:tools 2.3113
libc-l10n ii:libc-l10n:2.31-13+deb11u5:all:GNU:C:Library::localization:files 2.3113
libc6:amd64 ii:libc6:amd64:2.31-13+deb11u5:amd64:GNU:C:Library::Shared:libraries 2.3113
libc6-dev:amd64 ii:libc6-dev:amd64:2.31-13+deb11u5:amd64:GNU:C:Library::Development:Libraries:and:Header:Files 2.3113
libcaca0:amd64 ii:libcaca0:amd64:0.99.beta19-2.2:amd64:colour:ASCII:art:library 0.99.192.2
libcairo-gobject-perl ii:libcairo-gobject-perl:1.005-2+b2:amd64:integrate:Cairo:into:the:Glib:type:system:in:Perl 1.0052
libcairo-gobject2:amd64 ii:libcairo-gobject2:amd64:1.16.0-5:amd64:Cairo:2D:vector:graphics:library:(GObject:library) 1.16.05
libcairo-perl:amd64 ii:libcairo-perl:amd64:1.109-1:amd64:Perl:interface:to:the:Cairo:graphics:library 1.1091
libcairo2:amd64 ii:libcairo2:amd64:1.16.0-5:amd64:Cairo:2D:vector:graphics:library 1.16.05
libcairomm-1.0-1v5:amd64 ii:libcairomm-1.0-1v5:amd64:1.12.2-4:amd64:C++:wrappers:for:Cairo:(shared:libraries) 1.12.24
libcamel-1.2-62:amd64 ii:libcamel-1.2-62:amd64:3.38.3-1+deb11u2:amd64:Evolution:MIME:message:handling:library 3.38.31
libcanberra-gtk3-0:amd64 ii:libcanberra-gtk3-0:amd64:0.30-7:amd64:GTK+:3.0:helper:for:playing:widget:event:sounds:with:libcanberra 0.307
libcanberra-gtk3-module:amd64 ii:libcanberra-gtk3-module:amd64:0.30-7:amd64:translates:GTK3:widgets:signals:to:event:sounds 0.307
libcanberra-pulse:amd64 ii:libcanberra-pulse:amd64:0.30-7:amd64:PulseAudio:backend:for:libcanberra 0.307
libcanberra0:amd64 ii:libcanberra0:amd64:0.30-7:amd64:simple:abstract:interface:for:playing:event:sounds 0.307
libcap-ng0:amd64 ii:libcap-ng0:amd64:0.7.9-2.2+b1:amd64:An:alternate:POSIX:capabilities:library 0.7.92.2
libcap2:amd64 ii:libcap2:amd64:1:2.44-1:amd64:POSIX:1003.1e:capabilities:(library) 12.441
libcap2-bin ii:libcap2-bin:1:2.44-1:amd64:POSIX:1003.1e:capabilities:(utilities) 12.441
libcaribou-common ii:libcaribou-common:0.4.21-7.1:all:Configurable:on:screen:keyboard:with:scanning:mode:-:common:files 0.4.217.1
libcaribou0:amd64 ii:libcaribou0:amd64:0.4.21-7.1:amd64:Configurable:on:screen:keyboard:with:scanning:mode:-:library 0.4.217.1
libcbor0:amd64 ii:libcbor0:amd64:0.5.0+dfsg-2:amd64:library:for:parsing:and:generating:CBOR:(RFC:7049) 0.5.0
libcc1-0:amd64 ii:libcc1-0:amd64:10.2.1-6:amd64:GCC:cc1:plugin:for:GDB 10.2.16
libcdio-cdda2:amd64 ii:libcdio-cdda2:amd64:10.2+2.0.0-1+b2:amd64:library:to:read:and:control:digital:audio:CDs 10.2
libcdio-paranoia2:amd64 ii:libcdio-paranoia2:amd64:10.2+2.0.0-1+b2:amd64:library:to:read:digital:audio:CDs:with:error:correction 10.2
libcdio19:amd64 ii:libcdio19:amd64:2.1.0-2:amd64:library:to:read:and:control:CD-ROM 2.1.02
libcdparanoia0:amd64 ii:libcdparanoia0:amd64:3.10.2+debian-13.1:amd64:audio:extraction:tool:for:sampling:CDs:(library) 3.10.2
libcdr-0.1-1:amd64 ii:libcdr-0.1-1:amd64:0.1.6-2:amd64:library:for:reading:and:converting:Corel:DRAW:files 0.1.62
libchamplain-0.12-0:amd64 ii:libchamplain-0.12-0:amd64:0.12.20-1:amd64:C:library:providing:ClutterActor:to:display:maps 0.12.201
libchamplain-gtk-0.12-0:amd64 ii:libchamplain-gtk-0.12-0:amd64:0.12.20-1:amd64:Gtk+:widget:to:display:maps 0.12.201
libcheese-gtk25:amd64 ii:libcheese-gtk25:amd64:3.38.0-3:amd64:tool:to:take:pictures:and:videos:from:your:webcam:-:widgets 3.38.03
libcheese8:amd64 ii:libcheese8:amd64:3.38.0-3:amd64:tool:to:take:pictures:and:videos:from:your:webcam:-:base:library 3.38.03
libchromaprint1:amd64 ii:libchromaprint1:amd64:1.5.0-2:amd64:audio:fingerprint:library 1.5.02
libclone-perl ii:libclone-perl:0.45-1+b1:amd64:module:for:recursively:copying:Perl:datatypes 0.451
libclucene-contribs1v5:amd64 ii:libclucene-contribs1v5:amd64:2.3.3.4+dfsg-1+b1:amd64:language:specific:text:analyzers:(runtime) 2.3.3.4
libclucene-core1v5:amd64 ii:libclucene-core1v5:amd64:2.3.3.4+dfsg-1+b1:amd64:core:library:for:full-featured:text:search:engine:(runtime) 2.3.3.4
libclutter-1.0-0:amd64 ii:libclutter-1.0-0:amd64:1.26.4+dfsg-2:amd64:Open:GL:based:interactive:canvas:library 1.26.4
libclutter-1.0-common ii:libclutter-1.0-common:1.26.4+dfsg-2:all:Open:GL:based:interactive:canvas:library:(common:files) 1.26.4
libclutter-gst-3.0-0:amd64 ii:libclutter-gst-3.0-0:amd64:3.0.27-2:amd64:Open:GL:based:interactive:canvas:library:GStreamer:elements 3.0.272
libclutter-gtk-1.0-0:amd64 ii:libclutter-gtk-1.0-0:amd64:1.8.4-4:amd64:Open:GL:based:interactive:canvas:library:GTK+:widget 1.8.44
libcmis-0.5-5v5 ii:libcmis-0.5-5v5:0.5.2-3:amd64:CMIS:protocol:client:library 0.5.23
libcodec2-0.9:amd64 ii:libcodec2-0.9:amd64:0.9.2-4:amd64:Codec2:runtime:library 0.9.24
libcogl-common ii:libcogl-common:1.22.8-2:all:Object:oriented:GL/GLES:Abstraction/Utility:Layer:(common:files) 1.22.82
libcogl-pango20:amd64 ii:libcogl-pango20:amd64:1.22.8-2:amd64:Object:oriented:GL/GLES:Abstraction/Utility:Layer 1.22.82
libcogl-path20:amd64 ii:libcogl-path20:amd64:1.22.8-2:amd64:Object:oriented:GL/GLES:Abstraction/Utility:Layer 1.22.82
libcogl20:amd64 ii:libcogl20:amd64:1.22.8-2:amd64:Object:oriented:GL/GLES:Abstraction/Utility:Layer 1.22.82
libcolamd2:amd64 ii:libcolamd2:amd64:1:5.8.1+dfsg-2:amd64:column:approximate:minimum:degree:ordering:library:for:sparse:matrices 15.8.1
libcolord-gtk1:amd64 ii:libcolord-gtk1:amd64:0.1.26-2:amd64:GTK+:convenience:library:for:interacting:with:colord 0.1.262
libcolord2:amd64 ii:libcolord2:amd64:1.4.5-3:amd64:system:service:to:manage:device:colour:profiles:--:runtime 1.4.53
libcolorhug2:amd64 ii:libcolorhug2:amd64:1.4.5-3:amd64:library:to:access:the:ColorHug:colourimeter:--:runtime 1.4.53
libcom-err2:amd64 ii:libcom-err2:amd64:1.46.2-2:amd64:common:error:description:library 1.46.22
libcrack2:amd64 ii:libcrack2:amd64:2.9.6-3.4:amd64:pro-active:password:checker:library 2.9.63.4
libcrypt-dev:amd64 ii:libcrypt-dev:amd64:1:4.4.18-4:amd64:libcrypt:development:files 14.4.184
libcrypt1:amd64 ii:libcrypt1:amd64:1:4.4.18-4:amd64:libcrypt:shared:library 14.4.184
libcryptsetup12:amd64 ii:libcryptsetup12:amd64:2:2.3.7-1+deb11u1:amd64:disk:encryption:support:-:shared:library 22.3.71
libctf-nobfd0:amd64 ii:libctf-nobfd0:amd64:2.35.2-2:amd64:Compact:C:Type:Format:library:(runtime,:no:BFD:dependency) 2.35.22
libctf0:amd64 ii:libctf0:amd64:2.35.2-2:amd64:Compact:C:Type:Format:library:(runtime,:BFD:dependency) 2.35.22
libcue2:amd64 ii:libcue2:amd64:2.2.1-3:amd64:CUE:Sheet:Parser:Library 2.2.13
libcups2:amd64 ii:libcups2:amd64:2.3.3op2-3+deb11u2:amd64:Common:UNIX:Printing:System(tm):-:Core:library 2.3.323
libcupsfilters1:amd64 ii:libcupsfilters1:amd64:1.28.7-1+deb11u1:amd64:OpenPrinting:CUPS:Filters:-:Shared:library 1.28.71
libcurl3-gnutls:amd64 ii:libcurl3-gnutls:amd64:7.74.0-1.3+deb11u7:amd64:easy-to-use:client-side:URL:transfer:library:(GnuTLS:flavour) 7.74.01.3
libcurl4:amd64 ii:libcurl4:amd64:7.74.0-1.3+deb11u7:amd64:easy-to-use:client-side:URL:transfer:library:(OpenSSL:flavour) 7.74.01.3
libdaemon0:amd64 ii:libdaemon0:amd64:0.14-7.1:amd64:lightweight:C:library:for:daemons:-:runtime:library 0.147.1
libdata-dump-perl ii:libdata-dump-perl:1.23-1.1:all:Perl:module:to:help:dump:data:structures 1.231.1
libdatrie1:amd64 ii:libdatrie1:amd64:0.2.13-1:amd64:Double-array:trie:library 0.2.131
libdav1d4:amd64 ii:libdav1d4:amd64:0.7.1-3:amd64:fast:and:small:AV1:video:stream:decoder:(shared:library) 0.7.13
libdazzle-1.0-0:amd64 ii:libdazzle-1.0-0:amd64:3.38.0-1:amd64:feature-filled:library:for:GTK+:and:GObject 3.38.01
libdb5.3:amd64 ii:libdb5.3:amd64:5.3.28+dfsg1-0.8:amd64:Berkeley:v5.3:Database:Libraries:[runtime] 5.3.28
libdbus-1-3:amd64 ii:libdbus-1-3:amd64:1.12.24-0+deb11u1:amd64:simple:interprocess:messaging:system:(library) 1.12.240
libdbus-glib-1-2:amd64 ii:libdbus-glib-1-2:amd64:0.110-6:amd64:deprecated:library:for:D-Bus:IPC 0.1106
libdbusmenu-glib4:amd64 ii:libdbusmenu-glib4:amd64:18.10.20180917~bzr492+repack1-2:amd64:library:for:passing:menus:over:DBus 18.10.20180917492
libdbusmenu-gtk3-4:amd64 ii:libdbusmenu-gtk3-4:amd64:18.10.20180917~bzr492+repack1-2:amd64:library:for:passing:menus:over:DBus:-:GTK-3+:version 18.10.20180917492
libdc1394-25:amd64 ii:libdc1394-25:amd64:2.2.6-3:amd64:high:level:programming:interface:for:IEEE:1394:digital:cameras 2.2.63
libdca0:amd64 ii:libdca0:amd64:0.0.7-2:amd64:decoding:library:for:DTS:Coherent:Acoustics:streams 0.0.72
libdconf1:amd64 ii:libdconf1:amd64:0.38.0-2:amd64:simple:configuration:storage:system:-:runtime:library 0.38.02
libde265-0:amd64 ii:libde265-0:amd64:1.0.11-0+deb11u1:amd64:Open:H.265:video:codec:implementation 1.0.110
libdebconfclient0:amd64 ii:libdebconfclient0:amd64:0.260:amd64:Debian:Configuration:Management:System:(C-implementation:library) 0.260
libdee-1.0-4:amd64 ii:libdee-1.0-4:amd64:1.2.7+17.10.20170616-6+b1:amd64:Model:to:synchronize:multiple:instances:over:DBus:-:shared:lib 1.2.7
libdeflate0:amd64 ii:libdeflate0:amd64:1.7-1:amd64:fast,:whole-buffer:DEFLATE-based:compression:and:decompression 1.71
libdevmapper1.02.1:amd64 ii:libdevmapper1.02.1:amd64:2:1.02.175-2.1:amd64:Linux:Kernel:Device:Mapper:userspace:library 21.02.1752.1
libdiscover2 ii:libdiscover2:2.1.2-8:amd64:hardware:identification:library 2.1.28
libdjvulibre-text ii:libdjvulibre-text:3.5.28-2:all:Linguistic:support:files:for:libdjvulibre 3.5.282
libdjvulibre21:amd64 ii:libdjvulibre21:amd64:3.5.28-2:amd64:Runtime:support:for:the:DjVu:image:format 3.5.282
libdleyna-connector-dbus-1.0-1:amd64 ii:libdleyna-connector-dbus-1.0-1:amd64:0.3.0-2:amd64:DBus:connector:module:for:the:dLeyna:services 0.3.02
libdleyna-core-1.0-5:amd64 ii:libdleyna-core-1.0-5:amd64:0.6.0-4:amd64:Utility:functions:for:higher:level:dLeyna:components 0.6.04
libdmapsharing-3.0-2:amd64 ii:libdmapsharing-3.0-2:amd64:2.9.41-3:amd64:DMAP:client:and:server:library:-:runtime 2.9.413
libdns-export1110 ii:libdns-export1110:1:9.11.19+dfsg-2.1:amd64:Exported:DNS:Shared:Library 19.11.19
libdotconf0:amd64 ii:libdotconf0:amd64:1.3-0.3:amd64:Configuration:file:parser:library:-:runtime:files 1.30.3
libdouble-conversion3:amd64 ii:libdouble-conversion3:amd64:3.1.5-6.1:amd64:routines:to:convert:IEEE:floats:to:and:from:strings 3.1.56.1
libdpkg-perl ii:libdpkg-perl:1.20.12:all:Dpkg:perl:modules 1.20.12
libdrm-amdgpu1:amd64 ii:libdrm-amdgpu1:amd64:2.4.104-1:amd64:Userspace:interface:to:amdgpu-specific:kernel:DRM:services:--:runtime 2.4.1041
libdrm-common ii:libdrm-common:2.4.104-1:all:Userspace:interface:to:kernel:DRM:services:--:common:files 2.4.1041
libdrm-intel1:amd64 ii:libdrm-intel1:amd64:2.4.104-1:amd64:Userspace:interface:to:intel-specific:kernel:DRM:services:--:runtime 2.4.1041
libdrm-nouveau2:amd64 ii:libdrm-nouveau2:amd64:2.4.104-1:amd64:Userspace:interface:to:nouveau-specific:kernel:DRM:services:--:runtime 2.4.1041
libdrm-radeon1:amd64 ii:libdrm-radeon1:amd64:2.4.104-1:amd64:Userspace:interface:to:radeon-specific:kernel:DRM:services:--:runtime 2.4.1041
libdrm2:amd64 ii:libdrm2:amd64:2.4.104-1:amd64:Userspace:interface:to:kernel:DRM:services:--:runtime 2.4.1041
libdv4:amd64 ii:libdv4:amd64:1.0.0-13:amd64:software:library:for:DV:format:digital:video:(runtime:lib) 1.0.013
libdvdnav4:amd64 ii:libdvdnav4:amd64:6.1.0-1+b1:amd64:DVD:navigation:library 6.1.01
libdvdread8:amd64 ii:libdvdread8:amd64:6.1.1-2:amd64:library:for:reading:DVDs 6.1.12
libdw1:amd64 ii:libdw1:amd64:0.183-1:amd64:library:that:provides:access:to:the:DWARF:debug:information 0.1831
libe-book-0.1-1:amd64 ii:libe-book-0.1-1:amd64:0.1.3-2:amd64:library:for:reading:and:converting:various:e-book:formats 0.1.32
libebackend-1.2-10:amd64 ii:libebackend-1.2-10:amd64:3.38.3-1+deb11u2:amd64:Utility:library:for:evolution:data:servers 3.38.31
libebook-1.2-20:amd64 ii:libebook-1.2-20:amd64:3.38.3-1+deb11u2:amd64:Client:library:for:evolution:address:books 3.38.31
libebook-contacts-1.2-3:amd64 ii:libebook-contacts-1.2-3:amd64:3.38.3-1+deb11u2:amd64:Client:library:for:evolution:contacts:books 3.38.31
libecal-2.0-1:amd64 ii:libecal-2.0-1:amd64:3.38.3-1+deb11u2:amd64:Client:library:for:evolution:calendars 3.38.31
libedata-book-1.2-26:amd64 ii:libedata-book-1.2-26:amd64:3.38.3-1+deb11u2:amd64:Backend:library:for:evolution:address:books 3.38.31
libedata-cal-2.0-1:amd64 ii:libedata-cal-2.0-1:amd64:3.38.3-1+deb11u2:amd64:Backend:library:for:evolution:calendars 3.38.31
libedataserver-1.2-25:amd64 ii:libedataserver-1.2-25:amd64:3.38.3-1+deb11u2:amd64:Utility:library:for:evolution:data:servers 3.38.31
libedataserverui-1.2-2:amd64 ii:libedataserverui-1.2-2:amd64:3.38.3-1+deb11u2:amd64:Utility:library:for:evolution:data:servers 3.38.31
libedit2:amd64 ii:libedit2:amd64:3.1-20191231-2+b1:amd64:BSD:editline:and:history:libraries 3.1201912312
libefiboot1:amd64 ii:libefiboot1:amd64:37-6:amd64:Library:to:manage:UEFI:variables 376
libefivar1:amd64 ii:libefivar1:amd64:37-6:amd64:Library:to:manage:UEFI:variables 376
libegl-mesa0:amd64 ii:libegl-mesa0:amd64:20.3.5-1:amd64:free:implementation:of:the:EGL:API:--:Mesa:vendor:library 20.3.51
libegl1:amd64 ii:libegl1:amd64:1.3.2-1:amd64:Vendor:neutral:GL:dispatch:library:--:EGL:support 1.3.21
libelf1:amd64 ii:libelf1:amd64:0.183-1:amd64:library:to:read:and:write:ELF:files 0.1831
libenchant-2-2:amd64 ii:libenchant-2-2:amd64:2.2.15-1:amd64:Wrapper:library:for:various:spell:checker:engines:(runtime:libs) 2.2.151
libencode-locale-perl ii:libencode-locale-perl:1.05-1.1:all:utility:to:determine:the:locale:encoding 1.051.1
libeot0:amd64 ii:libeot0:amd64:0.01-5+b1:amd64:Library:for:parsing/converting:Embedded:OpenType:files 0.015
libepoxy0:amd64 ii:libepoxy0:amd64:1.5.5-1:amd64:OpenGL:function:pointer:management:library 1.5.51
libept1.6.0:amd64 ii:libept1.6.0:amd64:1.2.1:amd64:High-level:library:for:managing:Debian:package:information 1.2.1
libepubgen-0.1-1:amd64 ii:libepubgen-0.1-1:amd64:0.1.1-1:amd64:EPUB:generator:library 0.1.11
liberror-perl ii:liberror-perl:0.17029-1:all:Perl:module:for:error/exception:handling:in:an:OO-ish:way 0.170291
libespeak-ng1:amd64 ii:libespeak-ng1:amd64:1.50+dfsg-7+deb11u1:amd64:Multi-lingual:software:speech:synthesizer::shared:library 1.50
libestr0:amd64 ii:libestr0:amd64:0.1.10-2.1+b1:amd64:Helper:functions:for:handling:strings:(lib) 0.1.102.1
libetonyek-0.1-1:amd64 ii:libetonyek-0.1-1:amd64:0.1.9-4:amd64:library:for:reading:and:converting:Apple:Keynote:presentations 0.1.94
libevdev2:amd64 ii:libevdev2:amd64:1.11.0+dfsg-1:amd64:wrapper:library:for:evdev:devices 1.11.0
libevdocument3-4:amd64 ii:libevdocument3-4:amd64:3.38.2-1:amd64:Document:(PostScript,:PDF):rendering:library 3.38.21
libevent-2.1-7:amd64 ii:libevent-2.1-7:amd64:2.1.12-stable-1:amd64:Asynchronous:event:notification:library 2.1.121
libevolution ii:libevolution:3.38.3-1+deb11u1:amd64:evolution:libraries 3.38.31
libevview3-3:amd64 ii:libevview3-3:amd64:3.38.2-1:amd64:Document:(PostScript,:PDF):rendering:library:-:Gtk+:widgets 3.38.21
libexempi8:amd64 ii:libexempi8:amd64:2.5.2-1:amd64:library:to:parse:XMP:metadata:(Library) 2.5.21
libexif12:amd64 ii:libexif12:amd64:0.6.22-3:amd64:library:to:parse:EXIF:files 0.6.223
libexiv2-27:amd64 ii:libexiv2-27:amd64:0.27.3-3+deb11u1:amd64:EXIF/IPTC/XMP:metadata:manipulation:library 0.27.33
libexpat1:amd64 ii:libexpat1:amd64:2.2.10-2+deb11u5:amd64:XML:parsing:C:library:-:runtime:library 2.2.102
libexpat1-dev:amd64 ii:libexpat1-dev:amd64:2.2.10-2+deb11u5:amd64:XML:parsing:C:library:-:development:kit 2.2.102
libext2fs2:amd64 ii:libext2fs2:amd64:1.46.2-2:amd64:ext2/ext3/ext4:file:system:libraries 1.46.22
libexttextcat-2.0-0:amd64 ii:libexttextcat-2.0-0:amd64:3.4.5-1:amd64:Language:detection:library 3.4.51
libexttextcat-data ii:libexttextcat-data:3.4.5-1:all:Language:detection:library:-:data:files 3.4.51
libextutils-depends-perl ii:libextutils-depends-perl:0.8000-1:all:Perl:module:for:building:extensions:that:depend:on:other:extensions 0.80001
